2;42146042000185;A CELL ARRUDA ASSISTENCIA TECNICA LTDA;Lucro Presumido
47;20233145000140;A3 TRANSPORTES RODOVIARIOS LTDA;Lucro Presumido
134;20396484000147;FREDERIK HENDRIK ANTONIUS GEUER LTDA;Lucro Presumido
155;41270084000160;HDS SERVICOS ADMINISTRATIVOS LTDA;Lucro Presumido
234;08448834000176;MEDICAL CENTER OFFICE ROOM S/S LTDA;Lucro Presumido
263;11123523000141;APM DA EMEI PROFA. NEIZE QUAGLIO MATHEDI;Isentas
271;15336911000161;FOLHA & AGUA EVENTOS LTDA;Lucro Presumido
307;13491494000104;ASSOCIACAO CIVIL DE MORADORES DO JARDIM IMPERIAL;Isentas
319;08459809000198;ASSOCIACAO DE ARTESAO E ARTISTAS PLASTICOS DE VALINHOS;Isentas
329;10345242000170;ASSOCIACAO DE MOTOCICLISTAS MOTO CLUBE TIGRE DO VALE;Isentas
345;36364535000199;ASSOCIACAO DOS PROPRIETARIOS E MORADORES DO RESIDENCIAL WALDIR BERNARDINETTI, RESIDENCIAL CHIRLEY CORAZZARI BERNARDINETTI E RESIDENCIAL HELENA DI SANTI BERNARDINETTI - ABERTURA EM 21/02/2020;Isentas
352;15468634000140;ASSOCIACAO ESPIRITA - GRUPO LUZ E ESPERANCA - NOSSA A PARTIR DE 23/09/2020;Isentas
369;13741496000104;AUXXILIO TRANSPORTES LTDA;Lucro Presumido
410;06213892000195;CARLOS ALVES DA SILVA LANCHONETE;Lucro Presumido
426;17357197000113;CENTRO DE EMAGRECIMENTO KS LTDA - ME;Lucro Presumido
448;13523641000172;CLAUDIO PEDRO DE LIMA TRANSPORTES;Lucro Presumido
795;44836963000103;TRANSPLAC TRANSPORTES RODOVIARIOS LTDA;Lucro Presumido
801;09419407000122;TONIATTI SERVICOS ADMINISTRATIVOS LTDA;Lucro Presumido
824;15455886000135;K B S DE ALMEIDA TRANSPORTES;Lucro Presumido
932;06346636000176;RS3 CONSTRUCOES LTDA;Lucro Presumido
937;46237475000105;LOJA MACONICA INCONFIDENCIA TERCEIRO MILENIO;Isentas
977;35919630000149;LR7 MONTAGENS E ESTANDES LIMITADA;Lucro Presumido
1138;14332757000197;MARCOS DOS SANTOS ROSA 21302701827;Lucro Presumido
1306;04920729000137;AUTO POSTO DAMIZADE LIMITADA;Lucro Real
1387;37318369000157;E. E. ANTUNES LTDA;Lucro Presumido
1449;19318436000151;CSS MONTAGENS DE ISOLAMENTO TERMICO LTDA;Lucro Presumido
1495;53500476000158;ESCOLA PEQUENO MIOSOTIS;Lucro Presumido
1529;16384461000145;CONSELHO PARTICULAR SAO LUIZ GONZAGA DA SOCIEDADE DE SAO VICENTE DE PAULO DE VALINHOS;Isentas
1530;73077604000100;INSTITUTO ESPERANCA;Imunes
1547;67372599000165;HELIA DELLA LIBERA - ME;Lucro Presumido
1588;66637257000167;NUNES & NUNES BAR E MERCEARIA DE VALINHOS LTDA - M;Lucro Presumido
1618;50047893000107;IMOBILIARIA SAO FELIPE LTDA;Lucro Presumido
1811;09448149000102;PLIMA COMERCIO DE PNEUS LTDA;Lucro Real
1856;33899115000119;FREDERIK HENDRIK ANTONIUS GEUER;Lucro Presumido
1860;07787604000179;TRAFFOS SERVICOS ADMINISTRATIVOS LTDA;Lucro Presumido
1911;04449995000123;TECNOSERVICE TECNOLOGIA EM SERVICOS LTDA;Lucro Real
1979;13173248000104;RAIMUNDO REGINALDO NUNES DE OLIVEIRA;Lucro Presumido
1985;32143564000170;UNICA SERVICOS ADMINISTRATIVOS LTDA;Lucro Real
1994;00691351000196;EGAS CONSULTORIA LTDA;Lucro Presumido
2059;16896203000148;SMART CLICHERIA LTDA;Lucro Real
2104;25242137000183;TONUTRI BRASIL LTDA;Lucro Presumido
2208;11461228000103;VAL COMERCIO DE SALGADOS LIMITADA;Lucro Presumido
2231;07447368000141;FUTURE HOME DECOR LTDA;Lucro Presumido
2435;20348164000111;PUMPS BRASIL LTDA;Lucro Presumido
2501;15488382000111;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO - VALINHOS - SP - MUNICIPAL;Imunes
2557;03316575000106;MARIA APARECIDA PIERINI;Lucro Presumido
3566;47810045000195;FAVELA SURF LTDA;Lucro Presumido
4817;52082850000180;ATLAS FUND UP LTDA;Lucro Real
5226;07068585000120;DGA INDUSTRIA METALURGICA LTDA;Lucro Presumido
5437;10487458000170;COUTO & COUTO- COMERCIO E MANUTENCAO EM INFORMATIC;Lucro Presumido
6978;37157550000129;2HEAL INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS PA;Lucro Presumido
