1816;29060719000108;FIA GEOLOGIA E PROSPECCAO MINERAL LTDA - R
1823;05512407000111;DALFA COMERCIO DE GESSO LTDA - R
1826;23598627000191;GODOI LIMPEZA E SERVICOS TERCEIRIZADOS LTDA
1830;33148648000169;DIVINA MARMITA LTDA
1831;33431304000162;UNIVALI DISTRIBUIDORA E COMERCIO LTDA
1832;03262660000139;VN7 COMUNICACAO E MARKETING LTDA
1833;07571785000100;ZAGO CALHAS LIMITADA
1834;10666377000138;PRADO & PANA COMERCIO DE ACESSORIOS PARA CELULARES LTDA
1838;23524163000179;TORRENTE & SILVA LTDA
1839;10369604000163;R. R. SIMOES UNIFORMES LIMITADA
1841;20396533000141;PROBIO LTDA
1844;12289030000300;ESTHER CASTRO PEDROSA
1845;10746458000148;LHF CONFECCOES LTDA
1847;28655026000197;K. R. DOS SANTOS GUARIENTE
1849;32922821000171;KANSAS BARBECUE LTDA
1852;10494957000195;TORREZIN INDUSTRIA E COMERCIO DE POLPAS DE FRUTAS CONGELADAS LIMITADA
1853;40797106000182;NOTRE PAIN PADARIA ARTESANAL LTDA
1855;02334529000177;GESTOCK LOGISTICA LTDA
1856;33899115000119;FREDERIK HENDRIK ANTONIUS GEUER - E
1857;10600194000110;T & N COMERCIO DE SORVETES E MILK SHAKES LIMITADA - R
1858;02120773000137;INSTRUCAMP INSTRUMENTOS DE MEDICAO LTDA
1863;43347668000112;VT PRODUTOS CIRURGICOS LTDA
1865;02274649000126;CM - INFORMATICA LTDA - E
1866;36281639000130;CARDELLA AUTOMATION LTDA - E
1869;26074271000185;FRANCA JUNIOR COMERCIO DE AR CONDICIONADO LTDA - E
1870;31532059000154;TEMPERO DO CHEFE RESTAURANTE LTDA - E
1872;17765036000169;RL ILUMINACAO LTDA
1873;16686026000175;GASLIVE IMPORTACAO E EXPORTACAO DE PRODUTOS MEDICOS LTDA
1874;10732971000180;CONGELAX DISTRIBUIDORA E LOGISTICA LTDA - R
1875;21546505000126;MAXI-AIR LTDA - R
1876;13032096000111;TXR PRODUTOS QUIMICOS LIMITADA - E
1877;10758908000112;MARCOS ANTONIO DE REZENDE LTDA
1878;24326629000194;PAULO CEZAR RIBEIRO
1884;12394240000105;CLAUDEMIR RIBEIRO JARDINAGEM - E
1887;11264436000104;RAIMUNDO EDEMILSON DA SILVA - E
1888;18688690000189;LOTERICA CENTO E ONZE LTDA - E
1889;08879550000134;LFF PIZZARIA E RESTAURANTE LTDA - E
1890;16656244000167;RODRIGUES BARBOSA & BARBOSA LTDA - E
1892;11333041000116;GMARC SOLUCOES EM TELECOMUNICACOES LTDA - E
1894;25132620000105;FABIO ANDRE DIAS - R
1898;34269358000136;C. A. AGUSTINHO EMBALAGENS LTDA - E
1899;12996973000101;E. N. PAULOSSI - E
1900;17765036000240;RL ILUMINACAO LTDA
1901;30679205000106;SILVA & GUARIENTE LTDA - R
1904;29591113000190;DELLAVIA PROJETOS E MANUTENCAO INDUSTRIAL LTDA - R
1905;18857530000116;TF COMERCIO DE ALIMENTOS LTDA - E
1907;67867648000130;PASSARELLI & PASSARELLI LTDA - E
1909;30738817000122;PILEGE MOVEIS PLANEJADOS LTDA - R
1913;24630222000156;MARIANE ELIAS GIL
1918;32180109000144;CAMILA ALVES SIQUEIRA GASTALDI
1924;36662999000181;MIXRECORTE EPS LTDA
1938;43145738000150;GLAUCIANE DA SILVA SOUZA CAMOLEZE
1939;28276869000182;ODONTO CLEAN - CLINICA ODONTOLOGICA VALINHOS LTDA
1940;43307608000176;A.M.F. RESTAURANTE LTDA
1946;11819449000100;HORTIFRUTI KANESHI LTDA
1949;71679195000196;DAMIAO PEREIRA DA SILVA GEMEO
1951;08251565000153;DANIELA ANDREUCETTI SOUZA
1952;13446999000149;ELISEU GUIMARAES SOUZA
1953;05943566000170;ESCOLA DE EDUCACAO INFANTIL MARI COSER LTDA
1954;20026029000150;ROTA DAS VINHAS TRANSPORTES LTDA
1955;03414820000118;FERNANDO DE SOUZA FOTO E OTICA LTDA
1957;05600866000157;G.F. MATERIAIS FOTOGRAFICOS LTDA
1959;07662528000175;HELENA SILVA RIBEIRO ALVES
1960;04887160000155;GIOVANNI THOMAZI SALAS & CIA LTDA.
1962;11827352000131;GLEG COMERCIAL LTDA
1965;62741996000143;IRMAS OGANEKU LTDA
1967;07981654000192;EXCELLFARMA DROGARIA LIMITADA - E
1968;62238332000166;HIDRAULICA PALHARES LTDA
1969;07103320000540;LUNNE COMERCIAL LTDA
1970;07103320000116;LUNNE COMERCIAL LTDA
1971;03234628000140;LUZIA DOS SANTOS SILVA JUNDIAI
1975;01377032000173;MEGAARC INDUSTRIAL, SOLDAGEM E SEGURANCA LTDA
1976;09357509000160;MFER INDUSTRIA E COMERCIO PECAS EM GERAL LTDA
1979;13173248000104;RAIMUNDO REGINALDO NUNES DE OLIVEIRA
1980;19918877000194;RICARDO NOBORU KOYAMA
1981;08794594000161;ROJERI INDUSTRIA E COMERCIO DE COMPONENTES DE METAIS LTDA
1982;09550333000169;SAKAI & FREITAS TRANSPORTES RODOVIARIOS LTDA
1986;32116240000142;CONNECTION PARTICIPACOES LTDA
1987;11555847000159;E. B. OLIVEIRA & OLIVEIRA LIMITADA
1988;11565092000173;DIGITAL TOOLS GRAFICA EXPRESSA LIMITADA
1989;32199327000120;CENTER FLORA IRRIGACAO E PAISAGISMO LTDA
1993;32384973000168;NICOLI ALEXSANDRA JULIO 41308289839
1999;08884847000198;VRI NEGOCIOS E PARTICIPACOES LTDA
2001;28354134000120;L. C. BERNARDINETTI LTDA
2005;25242185000171;VIC VICENTINI COMERCIO DE ALIMENTOS LTDA
2006;30148110000166;DAMARIA TORTAS ARTESANAIS LTDA
2008;13003456000157;BULULU - COMERCIO E SERVICOS DE PAISAGISMO LTDA.
2009;24140736000123;VNS ALIMENTOS LTDA
2011;33979330000120;LIQUOS AMBIENTAL EQUIPAMENTOS E SISTEMAS PARA SANEAMENTO BASICO AMBIENTAL LTDA
2012;24290783000153;SONHO LAR COLCHOES LTDA - E
2013;32885067000147;MICHELLA FERNANDO DE ARAUJO
2016;24310270000167;QUALINOX MONTAGEM E MANUTENCAO INDUSTRIAL LTDA
2017;24528264000180;EL LOCACAO DE AUTOMOVEIS VALINHOS LTDA
2019;10267974000190;LEBRE COMERCIO DE ALIMENTOS LTDA
2021;11686668000150;PERFI SOLO FUNDACOES LTDA
2023;21864429000105;F. T. FIGUEIREDO FISIOTERAPIA EIRELI
2026;27648034000143;RBL CLINICA MEDICA LTDA
2027;20221022000199;CLINICA MEDICA MARINA PARRILLA S/S
2028;22813534000170;PADARIA DA CIDADE LTDA
2029;11763214000136;INFOVALI INFORMATICA LTDA
2031;24123835000105;GUALIS LOGISTICA E SERVICOS AUXILIARES DE TRANSPORTES AEREOS LTDA
2033;11790081000197;JOSE FRANCINALDO DA COSTA
2035;37355240000119;MB LASER INFORMATICA LTDA
2036;57958316000108;LET' S SWIM, NATACAO,PRESENTES E LANCHES LTDA
2037;11811861000176;EDSON MAXIMOVITCH
2041;05015368000147;TRANSVIVA TRANSPORTES DE VALINHOS LTDA
2046;36407874000105;PRIME TRAFFOS GESTAO TECNICA E EMPRESARIAL LTDA
2048;69150142000131;COMERCIO DE FRUTAS CATELLI & KOTAKA LTDA
2051;35056466000193;INCERAMIC MAQUINAS E EQUIPAMENTOS CERAMICOS LTDA
2054;02894995000450;TANAKAO PET SHOP PRODUTOS AGROPECUARIOS LTDA
2055;07135152000221;QUALY SERVICE INDUSTRIA E SERVICOS LTDA
2056;16979822000104;FABENE ALIMENTOS LTDA
2057;35032073000140;CG CENTRO DE TRATAMENTO ESTETICO LTDA
2059;16896203000148;SMART CLICHERIA LTDA
2060;28075753000185;LANZONI & PASSUCCI S/S LTDA
2064;15674611000192;FLA SERVICOS ADMINISTRATIVOS LIMITADA
2067;12352344000149;L B REFLETIVOS INDUSTRIA E COMERCIO LTDA
2068;18813070000205;GUSTAVO GABRIEL GUARIENTE PAIVA LTDA
2071;14763956000150;FH MONTAGEM E MANUTENCAO INDUSTRIAL LTDA
2072;23113959000139;GIANFAGNA & MARCHI LTDA - R
2074;33547061000122;PLASNAN INDUSTRIA E COMERCIO DE PRODUTOS PLASTICOS LTDA - E
2078;01538188000199;SANCHEZ & TEMPLE AUTOMACAO INDUSTRIAL LTDA - E
2081;03066013000151;S.T.E.CORRETORA DE SEGUROS LTDA.
2082;27391046000135;GWA WATER SISTEMAS E EQUIPAMENTOS PARA SANEAMENTO LTDA
2083;13295913000124;MARLON RESTAURANTES LTDA
2085;30450392000151;KAIROS HOSPITALAR DISTRIBUIDORA DE MEDICAMENTOS LTDA
2087;12225882000172;CLAUDINEI DONIZETE DOS ANJOS DA SILVEIRA
2089;03003737000156;CAMPTOSA PRESTACAO DE SERVICOS PARA ANIMAIS LTDA - E
2092;41104535000190;BTZ FAST FOOD LTDA
2100;12289030000149;ESTHER CASTRO PEDROSA -E
2105;08408525000172;VIDENCE FUNILARIA E PINTURA LTDA
2106;10605880000183;PESQUEIRO DA XUXA E DO BAIANO LTDA
