COD;CNPJ;NOME;STATUS
1130;24173599000123;MARILDA MARIA DE FREITAS STRABELLO 28429269860 - R;Empresa Configurada!
1132;14848970000156;14.848.970 MARICI NOGUEIRA MALUF - R;Empresa Configurada!
1134;13470516000141;MARCO ANTONIO DA SILVA 89408691687 - R;Empresa Configurada!
1136;42586033000105;MARIANA ZAVARIZI - R;Empresa Configurada!
1139;35711603000186;MARIANA PINHEIRO ALENCAR;Empresa Configurada!
1138;14332757000197;MARCOS DOS SANTOS ROSA 21302701827 - R;Empresa Configurada!
1140;13451635000157;MARIANA BERSAN 21627784837 - R;Empresa Configurada!
1145;39323669000150;MARCOS SANTOS RIBEIRO LTDA - R;Empresa Configurada!
1146;08946365000115;MARIA NATIVIDADE BARBOSA DA CONCEICAO COSTA - E;Empresa Configurada!
1147;04102573000187;MARCUCCIO & BUCHERONI LIMITADA - R;Empresa Configurada!
1148;28057490000181;MARIA MARTA VICENTE DA SILVA 29823160805 - R;Empresa Configurada!
1156;23353494000193;MARIA DE FATIMA DIAS GUIMARAES 26614534823 - R;Empresa Configurada!
1158;19200011000143;MARIA DA GLORIA DE ANDRADE MELO 78212219453 - R;Empresa Configurada!
1160;19733916000189;MARIA CONCEICAO DE JESUS PARNAYBA DE SOUZA PAULA 12811812857 - R;Empresa Configurada!
1161;96173422000138;MARIA CLARA LADEIRA SCRICO;Empresa Configurada!
1162;18593428000150;MARIA APARECIDA SACHINELLI 24783745870 - R;Empresa Configurada!
1163;41247465000129;MARGARIDA MAZARELI 13740819812 - R;Empresa Configurada!
1164;16720879000186;16.720.879 MARGARETE BONELLI - E;Empresa Configurada!
1172;23807624000110;3C DIAGNOSTICOS ODONTOLOGICOS LTDA - R;Empresa Configurada!
1173;23807624000200;3C DIAGNOSTICOS ODONTOLOGICOS LTDA;Empresa Configurada!
1175;33899127000143;6SIGMA TRANSPORTES LTDA - E;Empresa Configurada!
1176;07591503000128;A. C. T. BARBOSA LTDA;Empresa Configurada!
1177;11563044000146;A. CARVALHO LIMA BAR LTDA;Empresa Configurada!
1179;00196103000179;A. I. M. LOPES GARCIA MAYR;Empresa Configurada!
1180;27822198000145;A. J. NOVAIS CONSULTORIA LTDA;Empresa Configurada!
1181;30325002000111;A. MARTINS MANUTENCAO INDUSTRIAL;Empresa Configurada!
1182;29834235000160;A. MORALES SERVICOS VETERINARIOS;Empresa Configurada!
1184;10725149000191;A. XANDU & SANTOS BAR LTDA;Empresa Configurada!
1187;26831293000142;A4 ESQUADRIAS DE ALUMINIO LTDA - R;Empresa Configurada!
1188;29967514000100;ABRIL FAST FOOD LTDA;Empresa Configurada!
1189;14680600000152;ABRM CONSULTORIA EMPRESARIAL LTDA;Empresa Configurada!
1191;52350592000175;ACADEMIA DE DANCAS CORPO LIVRE LTDA;Empresa Configurada!
1192;07531302000135;ACADEMIA DE DANCAS VIVA ARTE LTDA - E;Empresa Configurada!
1193;06136322000149;ACAO FORTE;Empresa Configurada!
1194;19002553000101;ACCELERARE DESENVOLVIMENTO E LICENCIAMENTO DE PROGRAMAS LTDA;Empresa Configurada!
1195;11342476000127;ACMUGA REPRESENTACOES LIMITADA;Empresa Configurada!
1196;29400088000110;ACOCRED FOMENTO MERCANTIL LTDA;Empresa Configurada!
1197;05359515000104;AC-TEC TECNOLOGIA EM CONTROLE DE ACESSO E IDENTIFICACAO LTDA;Empresa Configurada!
1198;01171887000143;ADAO A. DA SILVA;Empresa Configurada!
1200;20984999000168;ADEGA TIO MARIO LTDA - R;Empresa Configurada!
1201;15097919000112;ADEMIR FLORENCIO RODRIGUES;Empresa Configurada!
1202;03804413000117;ADEMIR MACHARETH SCHUINDT;Empresa Configurada!
1203;07165698000144;ADERLENE MARTA MACAIRA;Empresa Configurada!
1204;10510256000100;ADRIANA RIBEIRO ALVES FREIRE - E;Empresa Configurada!
1205;25146988000122;ADRIANO BERNARDINETTI - R;Empresa Configurada!
1048;12596018000187;PABIO ANTONIO CORREIA;Empresa Configurada!
1050;35699296000165;LUIS GABRIEL DA COSTA DANIEL 46643651875 - R;Empresa Configurada!
1165;22600592000115;LS COMERCIO DE EQUIPAMENTOS PARA CELULARES LTDA - R;Empresa Configurada!
1167;07613479000180;INOVA INDUSTRIA E COMERCIO DE EMBALAGENS LTDA;Empresa Configurada!
1168;40856830000130;CLAYTON SERGIO DE MELLO SILVA - R;Empresa Configurada!
1169;42161593000118;EVALT SERVICOS ADMINISTRATIVOS LTDA;Empresa não encontrada
1071;07205681000254;NALLIN COMERCIO DE AREIA E PEDRAS LIMITADA;Empresa Configurada!
1073;39972027000181;LUIZ ROBERTO FABIANO E OUTROS;Empresa Configurada!
1075;09094177000179;MVL SERVICOS ADMINISTRATIVOS LTDA;Empresa Configurada!
1076;21241759000136;MV2 PARTICIPACOES LTDA;Empresa Configurada!
1077;42315496000132;MRS RIBEIRO LTDA;Empresa Configurada!
1078;42295962000165;MRG GESTAO E TREINAMENTOS LTDA;Empresa Configurada!
1079;13994891000190;MOYSES & MOYSES LIMITADA - E;Empresa Configurada!
1080;59010744000130;MOVIMENTO DEMOCRATICO BRASILEIRO - VALINHOS - SP - MUNICIPAL;Empresa Configurada!
1081;33550333000143;33.550.333 MONICA SANTOS DA SILVA - R;Empresa Configurada!
1086;28401691000154;MIETHKE CLINICA DE PSICOLOGIA LTDA - E;Empresa Configurada!
1087;37117080000170;MICHELE FIGUEIREDO BRAGA 22408806860 - R;Empresa Configurada!
1088;06346379000172;M.A.SEIXAS;Empresa Configurada!
1244;14699678000119;AMLABS LTDA;Empresa Configurada!
1246;33213272000129;AMY LOUISE BROWN - R;Empresa Configurada!
1247;29796028000169;ANA CARLA ROTELLA;Empresa Configurada!
1248;15741674000114;ANA CAROLINA BIM TEDESCO - E;Empresa Configurada!
1251;22501532000145;J. M. DA SILVA REPRESENTACAO LTDA;Empresa Configurada!
1252;24666007000105;ANA CAROLINA TREVISAN FISIOTERAPIA E TREINAMENTO LTDA;Empresa Configurada!
1253;18566572000106;ANA SILVIA BAGATELLA MARCON - E;Empresa Configurada!
1257;44554202000150;ANELIO ZANUCHI LANCHONETE - R;Empresa Configurada!
1259;05974146000151;ANGELA M.D.FERREIRA VIDRACARIA;Empresa Configurada!
1261;20790868000140;ANGULO 7 - SERVICOS ESPECIAIS EM SEGURANCA INDUSTRIAL LTDA - E;Empresa Configurada!
1262;18996654000182;ANIMA - SERVICOS DE ALMOXARIFADO LTDA. - E;Empresa não encontrada
1263;33483669000130;ANTONIO CARLOS GUARIENTE;Empresa Configurada!
1264;33652220000159;ANTONIO CAVALHERI JUNIOR - R;Empresa Configurada!
1265;26096213000152;ANTONIO GOMES DROGARIAS LTDA;Empresa Configurada!
1266;26096213000233;ANTONIO GOMES DROGARIAS LTDA;Empresa Configurada!
1267;01754742000175;ANTONIO GOUVEA FILHO;Empresa Configurada!
1268;10375941000163;ANTONIO GUIMARAES XAVIER - E;Empresa Configurada!
1269;41505700800166;ANTONIO JOSE ROSSI;Empresa Configurada!
1270;67850677000190;MERCADO FAMILIA PINHEIRO LTDA - E;Empresa Configurada!
1271;21375230000105;APC NOBRE SERVICOS ADMINISTRATIVOS LTDA - R;Empresa Configurada!
1272;10465450000103;ARAMIS ANTONIO CABRAL DOMONT;Empresa Configurada!
1273;31865671000149;PEREIRA DE ARAUJO COMERCIO E SERVICOS LTDA - E;Empresa Configurada!
1274;07051520000172;ARAUJO MELO & MELO LIMITADA - E;Empresa Configurada!
1275;11633691000187;AREA 19 TELECOMUNICACOES LTDA - E;Empresa Configurada!
1277;20558259000160;ARG SERVICOS ADMINISTRATIVOS LTDA - R;Empresa Configurada!
1278;33936672000162;ARIANA PONGILIO URBAN - E;Empresa não encontrada
1279;35856354000117;ARLETE DAMAZIA PASCHOAL;Empresa Configurada!
1280;29368505000195;ARMAZEM DONA LOURDES LTDA - E;Empresa Configurada!
1281;41750767000115;ARMELIN ALIMENTACAO ANIMAL LTDA - E;Empresa Configurada!
1282;02654103000109;ARMELIN FESTAS E EVENTOS LIMITADA;Empresa Configurada!
1283;18037024000180;AROMA DE CACAU E- COMERCE SOLUCOES GASTRONOMICAS LTDA - E;Empresa Configurada!
1284;17160690000149;ART IN DOLCE LTDA. - R;Empresa Configurada!
1285;07489927000186;ART MOVEIS COMERCIO VAREJISTA DE MOVEIS LTDA - E;Empresa Configurada!
1286;17623092000169;AS SALGADOS LIMITADA;Empresa Configurada!
1287;10510269000171;ASSIS GOMES & TEIXEIRA LTDA;Empresa Configurada!
1288;11660348000121;ASSISTENCIA TECNICA YAMAMOTO S/S LTDA - R;Empresa Configurada!
1289;44636637000144;ASSOCIACAO COMERCIAL E INDUSTRIAL DE VALINHOS;Empresa Configurada!
1290;05332435000157;ASSOCIACAO CULTURAL EDUCACIONAL SOCIAL E ASSISTENCIAL CAPUAVA;Empresa Configurada!
1291;07735015000147;ASSOCIACAO DAS ENTIDADES DE ASSISTENCIA E SERVICOS DE UTILIDADE COMUNITARIA DE VALINHOS INTEGRANTES DA FESTA DO FIGO E EXPO GOIABA;Empresa Configurada!
1293;11272198000189;ASSOCIACAO DE PAIS E MESTRES DA EMEB DOUTORA YRMA DE ANDRADE FIORI;Empresa Configurada!
1294;11272149000146;ASSOCIACAO DE PAIS E MESTRES DA EMEB PROFESSORA LELIA FRANCO BUENO LEME;Empresa Configurada!
1297;58390501000101;ASSOCIACAO DOS JUIZES CLASSISTAS APOSENTADOS E PENSIONISTAS DA JUSTICA DO TRABALHO DA 15 REGIAO;Empresa Configurada!
1299;25312314000150;ASSUMPCAO SERVICOS EM TECNOLOGIA DA INFORMACAO EIRELI - R;Empresa Configurada!
1300;17171468000141;ATT - ATTENTIVE CENTER CLINICA DE ULTRASSONOGRAFIA LTDA;Empresa Configurada!
1302;47008982000121;AUTO ELETRICA BORTOLOTTO LTDA;Empresa Configurada!
1304;02364527000120;AUTO ESCOLA AMIGOS LIMITADA - E;Empresa Configurada!
1305;65448110000166;AUTO PECAS SAO JOAO DE JUNDIAI LTDA - E;Empresa Configurada!
1306;04920729000137;AUTO POSTO DAMIZADE LIMITADA;Empresa Configurada!
1308;03844562000100;AVAL - TEC ENGENHARIA E SEGURANCA DO TRABALHO LTDA;Empresa Configurada!
1309;10389213000100;AVALIATIVA GESTAO DE INFORMACOES EDUCACIONAIS LTDA;Empresa Configurada!
1310;08252139000134;AVP/Q6 - EMPREENDIMENTOS E PARTICIPACOES LTDA;Empresa Configurada!
1311;04637673000108;B. DE OLIVEIRA & OLIVEIRA LTDA;Empresa Configurada!
1312;29227753000116;B. L. P. ACADEMIA DE LUTAS LTDA - E;Empresa Configurada!
1313;19762910000130;BACKSTAGE PROD. LTDA - R;Empresa Configurada!
1315;02038654000130;BAR DO ZEZINHO VALINHOS LTDA;Empresa não encontrada
1316;53248191000171;BAR E MERCEARIA DOS OLIVEIRAS LTDA - R;Empresa Configurada!
1317;19763193000160;BARBARA SILVA DE SANTANA LTDA;Empresa Configurada!
1318;19763193000241;BARBARA SILVA DE SANTANA LTDA - R;Empresa não encontrada
1319;51296390000120;BARCHESE & BARBOSA ADMINISTRADORA DE IMOVEIS LTDA.;Empresa Configurada!
1320;50063957000155;BARON ASSISTENCIA TECNICA E CONSERTOS DE ELETRODOMESTICOS LTDA;Empresa Configurada!
1326;36059884000105;BASTOS SERVICOS ADMINISTRATIVOS LTDA;Empresa Configurada!
1328;08694073000132;BELA LOLOCA CONFECCAO LTDA - E;Empresa Configurada!
1329;08694073000213;BELA LOLOCA CONFECCAO LTDA;Empresa não encontrada
1330;10881822000182;ELR PADARIA E CONFEITARIA LTDA - E;Empresa Configurada!
1332;32027122000168;BEN STAR COMERCIO DE COSMETICOS LTDA;Empresa Configurada!
1333;32027122000249;BEN STAR COMERCIO DE COSMETICOS LTDA;Empresa Configurada!
1334;08090632000103;BENGTSON TECNOLOGIA DA INFORMACAO LTDA;Empresa Configurada!
1206;28295765000115;ADRIANO BETTARELLO 16661045825;Empresa Configurada!
1207;02901753000101;AGILISE COSMETICOS INDUSTRIA E COMERCIO LTDA;Empresa Configurada!
1208;10614849000109;AGNANI FERREIRA COMERCIO DE ACESSORIOS PARA AUTOS LTDA;Empresa Configurada!
1209;24300267000162;AGROPECUARIA SANTA RITA FRB LTDA - E;Empresa Configurada!
1210;35919675000113;AGT ASSESSORIA GERENCIAL E TECNICA LTDA;Empresa Configurada!
1211;30848146000152;AIFE ATENDIMENTO MEDICO LTDA;Empresa Configurada!
1212;09571115000100;LCG ROUPAS LTDA - E;Empresa Configurada!
1213;02632056000194;AIRTON VILARONGA PINHO VALINHOS;Empresa Configurada!
1215;29753585000100;ALB CONSULT LTDA - R;Empresa não encontrada
1217;13686166000155;ALBUGARI COMERCIO DE LANCHES LTDA - E;Empresa Configurada!
1219;26686452000162;ALEXANDRE ALVES RUELA - E;Empresa Configurada!
1220;13981338000113;ALEXANDRE BENASSI ROMAN;Empresa Configurada!
1221;27406747000109;ALEXANDRO DOS SANTOS TIMOTEO - R;Empresa Configurada!
1222;31099999000100;ALEXSANDRO ALMEIDA REPRESENTACOES LTDA -  R;Empresa Configurada!
1224;31721172000188;ALINE REGNIER LIMA FERREIRA DE PAULA - E;Empresa Configurada!
1225;05316175000126;ALLABELLA SOLUCOES EM INFORMATICA LTDA - E;Empresa Configurada!
1226;58181538000200;AMAL - EMPREENDIMENTOS E MINERADORA ALVORADA LTDA;Empresa Configurada!
1227;07295427000103;AMARAL COMERCIO DE AR CONDICIONADO LTDA;Empresa Configurada!
1228;05634377000116;ASSISTEC ARTIGOS PARA PISCINAS E MANUTENCAO LIMITADA;Empresa Configurada!
5019;52503886000190;52.503.886 MARIELE FERREIRA MACHADO FIDELI - R;Empresa Configurada!
1230;04609865000100;CAMAYA INVESTIMENTOS LTDA;Empresa Configurada!
1231;18005187000181;ALLIATI SOLUCOES EM TECNOLOGIA LTDA - E;Empresa Configurada!
1233;19348692000191;ALMA COMERCIO DE ALIMENTOS LTDA.;Empresa Configurada!
1234;08762517000120;ALMA COMERCIO DE ARTIGOS PARA COMUNICACAO VISUAL LIMITADA - R;Empresa Configurada!
1235;32729886000103;ALMA COMERCIO DE BOLOS LTDA - R;Empresa não encontrada
1236;02824098000208;ALOCAMA LOCACAO DE MOVEIS LTDA;Empresa Configurada!
1237;02824098000399;ALOCAMA LOCACAO DE MOVEIS LTDA;Empresa Configurada!
1238;08568854000180;ALOGOS EDUCACIONAL LTDA - E;Empresa Configurada!
1239;37579756000147;ALTERNATIVA SALGADOS LTDA - E;Empresa não encontrada
1240;14026137000120;ALUMETRIA ALUMINIOS LIMITADA;Empresa não encontrada
1241;09371245000108;ALUTON USINAGEM DE PRECISAO LTDA;Empresa Configurada!
1242;49050784000151;ALVES DE CAMARGO & CAMARGO LTDA;Empresa Configurada!
1379;43490204000160;JOAO CARLOS DE PAULA SCREPANTE 26761622840;Empresa Configurada!
1380;43478449000172;NACIONAL CAR VALINHOS LTDA - E;Empresa Configurada!
1381;43475903000131;IESMAR SARAIVA 04541756803;Empresa Configurada!
1382;43367494000150;HORTODESC MATERIAIS MEDICOS E DESCARTAVEIS LTDA - E;Empresa Configurada!
1384;57843476000101;COMBASE USINAGEM DE PRECISAO LTDA;Empresa Configurada!
1385;51922235000171;ASSOCIACAO DE JUDO TRAJANO CENTER ARTES MARCIAIS;Empresa Configurada!
2564;29593334000106;JMA PISCINAS E ESPORTE LTDA;Empresa Configurada!
2565;22768813000169;AL ACADEMIA E ESPORTE LTDA;Empresa Configurada!
2566;22791918000139;VL FISIOTERAPIA LTDA - E;Empresa Configurada!
2567;27892020000170;BEM-ESTAR ESPACO BELEZA LTDA - E;Empresa Configurada!
2568;44621106000188;VINICIUS BIANCHI LTDA - R;Empresa não encontrada
1386;17407796000102;D. ATTILIO SERVICOS ADMINISTRATIVOS LTDA - R;Empresa Configurada!
1387;37318369000157;E. E. ANTUNES LTDA - R;Empresa Configurada!
5297;53657952000149;53.657.952 SILVANA DE FATIMA FRANCO - R;Empresa Configurada!
1395;36731167000170;HUMANALYSIS DESENVOLVIMENTO HUMANO LTDA - R;Empresa não encontrada
1396;09355443000170;IMAGGINE COMUNICACAO E COMERCIO DE ARTIGOS PROMOCIONAIS LIMITADA - E;Empresa Configurada!
1397;63747232000128;JESUS BENEDITO DE ARAUJO;Empresa Configurada!
1398;22601240000184;LIFE PREV CORRETORA DE SEGUROS LTDA - R;Empresa Configurada!
1400;24498904000157;LT SERVICOS ADMINISTRATIVOS LTDA;Empresa Configurada!
